rep,N,alpha,m0_target,m0_realized,z_init,tau_z,m_final,m_other_max,r_active,r_z,t_final,converged,closed_frac,time_since_last_switch,m_ungated,r_ungated,ungated_converged,t_ungated
0,1000,0.1,0.8999999761581421,0.8999998569488525,random,0.3000000119209289,0.9644467234611512,0.0861158594489097,1.389955830936966e-06,1.3731983017351013e-07,55.00000000000051,1.0,0.514,50.40000000000051,0.9883503913879396,2.349311444049817e-06,1.0,31.0
0,1000,0.1,0.8999999761581421,0.8999998569488525,random,1.0,0.967626690864563,0.0861175805330276,1.3833271285379677e-06,4.509621192028135e-07,61.0000000000006,1.0,0.508,50.30000000000062,0.9883503913879396,2.349311444049817e-06,1.0,31.0
0,1000,0.1,0.8999999761581421,0.8999998569488525,random,3.0,0.967802345752716,0.0864826068282127,1.4261830869692164e-06,1.504290480625059e-06,71.00000000000024,1.0,0.512,50.70000000000022,0.9883503913879396,2.349311444049817e-06,1.0,31.0
0,1000,0.1,0.8999999761581421,0.8999998569488525,random,10.0,0.9685651659965516,0.0885079056024551,1.3873576291454004e-06,2.0147910618106835e-05,137.99999999999645,1.0,0.511,50.99999999999712,0.9883503913879396,2.349311444049817e-06,1.0,31.0
0,1000,0.1,0.8999999761581421,0.8999998569488525,random,30.0,0.9661874175071716,0.0894615575671196,1.3196197316545917e-06,0.0015476554399356,206.99999999999253,1.0,0.514,50.399999999997135,0.9883503913879396,2.349311444049817e-06,1.0,31.0
0,1000,0.1,0.8999999761581421,0.8999998569488525,random,100.0,0.96614807844162,0.0897383466362953,1.223827831657877e-06,0.0018896989058703,673.0000000000845,1.0,0.512,50.20000000001141,0.9883503913879396,2.349311444049817e-06,1.0,31.0
0,1000,0.1,0.8999999761581421,0.8999998569488525,random,300.0,0.9661696553230286,0.0897596552968025,1.694678959165359e-06,0.0019963986705988,2003.9999999992729,1.0,0.513,380.1999999996542,0.9883503913879396,2.349311444049817e-06,1.0,31.0
0,1000,0.1,0.8999999761581421,0.8999998569488525,all_open,0.1000000014901161,0.974056363105774,0.0873498544096946,1.381713502515977e-06,6.78220359873194e-08,59.00000000000057,1.0,0.514,50.200000000000585,0.9883503913879396,2.349311444049817e-06,1.0,31.0
0,1000,0.1,0.8999999761581421,0.8999998569488525,all_open,0.3000000119209289,0.987348735332489,0.0872077569365501,1.4821434082954223e-06,1.412359722507972e-07,61.0000000000006,1.0,0.515,50.90000000000062,0.9883503913879396,2.349311444049817e-06,1.0,31.0
0,1000,0.1,0.8999999761581421,0.8999998569488525,all_open,1.0,0.9942757487297058,0.0868536382913589,1.3880897662241904e-06,5.286242981128453e-07,60.00000000000058,1.0,0.513,50.100000000000605,0.9883503913879396,2.349311444049817e-06,1.0,31.0
0,1000,0.1,0.8999999761581421,0.8999998569488525,all_open,3.0,0.9935112595558168,0.0888337865471839,1.4232541200406455e-06,1.6251822216872824e-06,70.0000000000003,1.0,0.513,50.9000000000003,0.9883503913879396,2.349311444049817e-06,1.0,31.0
0,1000,0.1,0.8999999761581421,0.8999998569488525,all_open,10.0,0.9891864061355592,0.0930003076791763,1.3928908542245566e-06,5.2073687584197614e-06,135.99999999999656,1.0,0.511,50.099999999997166,0.9883503913879396,2.349311444049817e-06,1.0,31.0
0,1000,0.1,0.8999999761581421,0.8999998569488525,all_open,30.0,0.9883579015731812,0.0937118977308273,1.394699506586292e-06,0.0004085536929778,244.9999999999904,1.0,0.509,50.49999999999713,0.9883503913879396,2.349311444049817e-06,1.0,31.0
