alpha,m0_target,z_init,tau_z,m_mean,m_ci_low,m_ci_high,count,converged_fraction,median_r_active,median_r_z,max_t_final
0.3,0.699999988079071,random,0.1000000014901161,0.6777871996164322,0.6602559715509415,0.6951346024870872,8,1.0,1.0537427515877448e-05,6.711172204632021e-07,503.0000000000459
0.3,0.699999988079071,random,0.3000000119209289,0.6829527467489243,0.6652679353952408,0.7022959515452385,8,1.0,2.5644137694790723e-06,3.275294488958025e-07,318.0000000000038
0.3,0.699999988079071,random,1.0,0.7007967755198479,0.6707057887688279,0.7273984178900719,8,1.0,7.227731884652038e-06,3.3338664024995524e-06,338.0000000000084
0.3,0.699999988079071,random,3.0,0.6880632191896439,0.6646076142787933,0.7106335610151291,8,1.0,9.131332331995408e-06,1.3512739315046929e-05,435.0000000000304
0.3,0.699999988079071,random,10.0,0.6384783610701561,0.616825889609754,0.6574270674958825,8,1.0,1.0792983345196916e-05,7.589005508631257e-05,363.0000000000141
0.3,0.699999988079071,random,30.0,0.5899932458996773,0.577278171479702,0.6012054234743118,8,1.0,1.5975024112662834e-06,0.00066927928128275,1033.000000000156
0.3,0.699999988079071,random,100.0,0.5818463787436485,0.5516163481399416,0.6121139004826546,8,1.0,8.844281334889897e-07,0.0019856322323903,1860.999999999403
0.3,0.699999988079071,random,300.0,0.5538777410984039,0.5252728916704654,0.5824893219396472,8,1.0,1.1523622177632028e-06,0.0019957309123128,7628.000000010219
0.3,0.8999999761581421,all_open,0.1000000014901161,0.811902791261673,0.7761070132255554,0.8467287644743919,8,1.0,4.2708865186428985e-06,2.66394025061345e-07,525.0000000000508
0.3,0.8999999761581421,all_open,0.3000000119209289,0.8267657607793808,0.8134590983390808,0.8437769746407866,8,1.0,2.814927816182237e-05,4.11515316045552e-06,355.0000000000122
0.3,0.8999999761581421,all_open,1.0,0.8241701722145081,0.799104206264019,0.85115747153759,8,1.0,1.322520017018552e-06,5.541475047721178e-07,352.00000000001154
0.3,0.8999999761581421,all_open,3.0,0.7676560059189796,0.7423351971432567,0.7941640114411712,8,1.0,9.250659693371154e-06,1.3700144450012885e-05,408.0000000000243
0.3,0.8999999761581421,all_open,10.0,0.6191410273313522,0.5979281589388847,0.6407171549275518,8,1.0,1.3179030721051395e-06,3.0799725209362805e-05,369.0000000000154
0.3,0.8999999761581421,all_open,30.0,0.42516959086060524,0.40723954066634177,0.44644690519198776,8,1.0,1.0412083977416347e-06,0.00135209091240535,245.9999999999903
0.3,0.8999999761581421,all_open,100.0,0.28693106584250927,0.25661958698183296,0.3159746057353914,8,1.0,1.0492490431417041e-06,0.0019896232988684997,706.000000000092
0.3,0.8999999761581421,all_open,300.0,0.2423713114112615,0.2056944221258163,0.2847628500312566,8,1.0,1.0397867025812791e-06,0.0019985117251053,1996.9999999992792
0.3,0.8999999761581421,random,0.1000000014901161,0.7992127761244774,0.7625408694148064,0.8361263336613773,8,1.0,1.3103939998844492e-05,8.202304115911829e-07,263.9999999999916
0.3,0.8999999761581421,random,0.3000000119209289,0.822461262345314,0.7999461218714714,0.8456086501479149,8,1.0,2.4850618654124027e-06,3.121374874126559e-07,223.9999999999916
0.3,0.8999999761581421,random,1.0,0.8059291914105415,0.7703727332875132,0.838161826133728,8,1.0,2.185178391354801e-06,8.321746349793102e-07,406.0000000000238
0.3,0.8999999761581421,random,3.0,0.7806601300835609,0.7576490614563227,0.8061848444864154,8,1.0,3.0433732209621153e-06,4.380309292173479e-06,315.0000000000031
0.3,0.8999999761581421,random,10.0,0.7526076510548592,0.7175178900361061,0.7830695509910583,8,1.0,2.664234368115921e-06,3.1606447919330094e-05,485.0000000000418
0.3,0.8999999761581421,random,30.0,0.7214772403240204,0.6892335310578346,0.7521719500422478,8,1.0,1.6733384769858104e-06,0.00095833220984785,577.0000000000626
0.3,0.8999999761581421,random,100.0,0.686175748705864,0.6569795407354831,0.7132939100265503,8,1.0,9.173699154713975e-07,0.0019896217854693003,1618.999999999623
0.3,0.8999999761581421,random,300.0,0.6750244200229645,0.639231339097023,0.7071483740583062,8,1.0,1.0278060962132234e-06,0.00199647422414265,3738.999999997695
0.4,0.5,all_open,0.1000000014901161,0.5492201149463654,0.5275874510407448,0.5681074477732182,8,1.0,1.6410909506685193e-06,1.0661591431926354e-07,424.0000000000279
0.4,0.5,all_open,0.3000000119209289,0.5983297377824783,0.5779044512659312,0.6151736676692963,8,1.0,9.855240811335736e-06,1.3853732525603846e-06,380.0000000000179
0.4,0.5,all_open,1.0,0.6260291337966919,0.6063672304153442,0.6446231549605728,8,1.0,1.3915156438814896e-05,6.599336074941675e-06,320.00000000000426
0.4,0.5,all_open,3.0,0.5672484673559666,0.5385908036492765,0.5931958109140396,8,1.0,1.6731221076023081e-06,1.9558469261937717e-06,447.00000000003314
0.4,0.5,all_open,10.0,0.46533770114183426,0.4306564927101135,0.49483408518135547,8,1.0,1.2417531909091964e-06,3.3198835808434524e-05,254.9999999999898
0.4,0.5,all_open,30.0,0.3824216350913048,0.34488828107714653,0.415323877800256,8,1.0,1.0713885673620547e-06,0.0006783483258914001,278.99999999999494
0.4,0.5,all_open,100.0,0.28465621545910835,0.2581913576461375,0.3087681420147419,8,1.0,1.09745693479672e-06,0.0019898900063708,712.0000000000933
0.4,0.5,all_open,300.0,0.2527194637805223,0.21804029885679477,0.2875797587446868,8,1.0,1.0843751355613775e-06,0.0019974912283941496,1995.99999999928
0.4,0.5,random,0.1000000014901161,0.548192486166954,0.5316041931509972,0.5680502280592918,8,1.0,1.048505880538054e-06,8.039629406653148e-08,372.0000000000161
0.4,0.5,random,0.3000000119209289,0.5439514741301537,0.5210057720541954,0.5668971762061119,8,1.0,6.723146263654389e-06,9.98991396272686e-07,284.9999999999963
0.4,0.5,random,1.0,0.552872434258461,0.5318522453308105,0.573754571378231,8,1.0,1.1354160146413738e-06,4.88857139657739e-07,514.0000000000483
0.4,0.5,random,3.0,0.5351507365703583,0.5082877766340971,0.5626746259629727,8,1.0,1.3977456065094685e-06,1.8183059182774741e-06,593.0000000000663
0.4,0.5,random,10.0,0.5037672929465771,0.48594816233962773,0.5232536789961159,8,1.0,9.883079252533319e-07,2.933334599219961e-05,397.00000000002177
0.4,0.5,random,30.0,0.4741372875869274,0.4516798754222691,0.4975334836170077,8,1.0,1.0653103849242895e-06,0.00057690292305775,1344.9999999998722
0.4,0.5,random,100.0,0.449071254581213,0.43231798335909843,0.4653342589735985,8,1.0,8.941720353343336e-07,0.00198858196381475,2333.9999999989727
0.4,0.5,random,300.0,0.41068775951862335,0.3921517607755959,0.431228157132864,8,1.0,1.0440266311645531e-06,0.0019964135717600003,4984.0000000006
0.4,0.699999988079071,all_open,0.1000000014901161,0.6605695709586143,0.6391706988215446,0.6799430077895522,8,1.0,1.7914442463210505e-05,1.1679445606205263e-06,481.00000000004087
0.4,0.699999988079071,all_open,0.3000000119209289,0.6823213249444962,0.6469224773347377,0.7178017852827907,8,1.0,4.827441191323448e-06,6.928860045718466e-07,635.0000000000758
0.4,0.699999988079071,all_open,1.0,0.7068360224366188,0.6711047286167741,0.7395414039492607,8,1.0,1.6392477366860798e-06,6.450460716678208e-07,447.00000000003314
0.4,0.699999988079071,all_open,3.0,0.6409397795796394,0.6059199869632721,0.6742648035287857,8,1.0,1.468389339845602e-06,1.8786627720146498e-06,426.0000000000284
0.4,0.699999988079071,all_open,10.0,0.5198634453117847,0.48738785460591316,0.552749902009964,8,1.0,2.017460708218465e-06,1.7875770936370827e-05,363.0000000000141
0.4,0.699999988079071,all_open,30.0,0.4008309282362461,0.3641565218567848,0.43094972148537636,8,1.0,1.0330722939873673e-06,0.00114702267455865,298.9999999999995
0.4,0.699999988079071,all_open,100.0,0.3080387320369482,0.27819211035966873,0.33512650905176994,8,1.0,1.099328042717246e-06,0.0016356938285752502,720.0000000000952
